id,scientific_name,latitude,longitude,year,month,day
25129210,Physcomitrium pyriforme,43.14431654,-93.19488091,2019,5,14
25165063,Physcomitrium pyriforme,45.05873059,-64.8117811,2019,5,15
25187004,Physcomitrium pyriforme,36.32727278,-94.09263595,2019,3,23
25193610,Physcomitrium pyriforme,40.4347229,-79.90750122,2019,5,15
25215928,Physcomitrium pyriforme,40.71724422,-82.4153649,2019,5,16
25234914,Physcomitrium pyriforme,40.77167791,-73.95525483,2019,5,16
25272941,Physcomitrium pyriforme,39.82973281,-74.99195245,2019,5,17
25287307,Physcomitrium pyriforme,41.653375,-87.05728883,2019,5,15
25309910,Physcomitrium pyriforme,51.17577635,3.19715709,2019,5,18
25317557,Physcomitrium pyriforme,40.37242087,-75.00643736,2019,5,18
25344926,Physcomitrium pyriforme,43.35542667,-79.87983167,2019,5,18
25393631,Physcomitrium pyriforme,41.32043717,-73.30900253,2019,5,19
25503009,Physcomitrium pyriforme,39.36814817,-82.12465885,2019,5,21
25513317,Physcomitrium pyriforme,42.29401081,-71.82484028,2019,5,21
25624640,Physcomitrium pyriforme,39.92050833,-83.34050167,2019,4,23
25625774,Physcomitrium pyriforme,40.015605,-83.04400667,2019,5,2
25626403,Physcomitrium pyriforme,40.04019167,-83.01258,2019,5,2
25648083,Physcomitrium pyriforme,42.02979912,-82.7285038,2019,5,23
25715065,Physcomitrium pyriforme,42.28317672,-83.39316317,2019,5,24
25828168,Physcomitrium pyriforme,43.58642047,-80.41600418,2019,5,18
25828404,Physcomitrium pyriforme,43.59432873,-80.54629476,2019,5,18
25889116,Physcomitrium pyriforme,44.87303,-65.28150833,2019,5,27
25995077,Physcomitrium pyriforme,45.0899805,-64.71154667,2019,5,29
25995668,Physcomitrium pyriforme,45.09638617,-64.695755,2019,5,29
25999659,Physcomitrium pyriforme,45.0793,-64.32733,2019,5,29
26004622,Physcomitrium pyriforme,44.96137,-64.20033833,2019,5,29
26007901,Physcomitrium pyriforme,44.93557167,-64.209145,2019,5,29
26547995,Physcomitrium pyriforme,45.0541195,-64.1214055,2019,6,7
26573940,Physcomitrium pyriforme,41.70690795,-81.16770988,2017,6,6
26583386,Physcomitrium pyriforme,44.64999008,-68.82358551,2019,6,6
26625204,Physcomitrium pyriforme,50.96627808,-114.1307755,2019,6,8
26818255,Physcomitrium pyriforme,41.67681667,-81.13230333,2019,6,7
27030315,Physcomitrium pyriforme,42.04726215,-87.67743804,2019,6,15
27124510,Physcomitrium pyriforme,41.30189167,-83.66695167,2019,6,15
28744775,Physcomitrium pyriforme,41.32480503,-81.4225218,2017,4,9
29605447,Physcomitrium,39.59845807,-76.43048413,2019,4,3
30566270,Physcomitrium pyriforme,50.66851371,-1.202618108,2019,8,10
30835401,Physcomitrium pyriforme,36.0726354,-79.7919754,2013,5,29
30848433,Physcomitrium pyriforme,36.38017534,-94.20427211,2019,3,28
31318697,Physcomitrium pyriforme,46.83766167,-96.73657167,2019,5,28
31707314,Physcomitrium,35.75668862,-78.94064904,2018,2,27
32315757,Physcomitrium pyriforme,28.511775,-81.84243833,2019,2,15
32961549,Physcomitrium immersum,45.15113622,-64.41001765,2019,9,18
34222270,Physcomitrium pyriforme,40.6602037,-73.9689558,2019,5,11
34275651,Physcomitrium pyriforme,35.73279916,-78.99544393,2015,3,11
36092535,Physcomitrium pyriforme,52.59160159,-2.140641198,2019,11,26
36750290,Physcomitrium pyriforme,44.28234883,-72.57953407,2019,6,9
36890285,Physcomitrium pyriforme,39.73130859,-75.579466,2019,12,23
36948491,Physcomitrium pyriforme,39.82192323,-75.47594514,2019,12,25
37339300,Physcomitrium,26.3070197,-98.17076169,2020,1,6
37591395,Physcomitrium pyriforme,29.82119462,-90.101217,2020,1,14
37658324,Physcomitrium pyriforme,42.37443755,-71.15994729,2014,5,1
37715312,Physcomitrium pyriforme,33.45228333,-97.01154445,2020,1,18
37822034,Physcomitrium pyriforme,33.11080283,-96.85336333,2020,1,21
37949354,Physcomitrium pyriforme,30.63728333,-91.09788617,2020,1,25
37953539,Physcomitrium,33.22554912,-96.95017291,2020,1,25
38183149,Physcomitrium pyriforme,33.22452418,-96.94097437,2020,2,1
38183379,Physcomitrium pyriforme,33.22435465,-96.94092188,2020,2,1
38205109,Physcomitrium pyriforme,33.206945,-96.66093333,2020,2,1
38209670,Physcomitrium pyriforme,33.05020283,-97.02591667,2020,1,21
38218856,Physcomitrium pyriforme,33.0239,-97.14583617,2020,2,2
38224468,Physcomitrium pyriforme,33.22911915,-96.93074374,2020,2,2
38263048,Physcomitrium pyriforme,30.656555,-96.81607833,2020,2,2
38360745,Physcomitrium pyriforme,33.06558883,-96.97515,2020,2,6
38360768,Physcomitrium pyriforme,33.06853617,-96.96308,2020,2,6
38367965,Physcomitrium pyriforme,33.2505278,-97.08984143,2020,2,6
38368046,Physcomitrium pyriforme,33.25048593,-97.08988728,2020,2,6
38368099,Physcomitrium pyriforme,33.25062431,-97.08977505,2020,2,6
38393267,Physcomitrium pyriforme,33.06448766,-96.93136053,2020,2,7
38404113,Physcomitrium pyriforme,31.37769167,-89.51201667,2020,2,7
38427942,Physcomitrium pyriforme,33.2517501,-97.14954879,2020,2,8
38438231,Physcomitrium pyriforme,33.171795,-96.844009,2020,2,8
38472296,Physcomitrium pyriforme,33.05013617,-97.02588617,2020,2,9
38479692,Physcomitrium pyriforme,33.22542562,-96.93871007,2020,2,9
38652611,Physcomitrium pyriforme,32.62876167,-97.425445,2020,2,14
38670410,Physcomitrium pyriforme,35.03120833,-77.13656667,2020,2,14
38688252,Physcomitrium pyriforme,32.66336333,-85.52646667,2020,2,15
38708777,Physcomitrium pyriforme,32.42117833,-81.78980333,2020,2,15
38751918,Physcomitrium pyriforme,55.90341328,37.84919919,2020,2,17
38758588,Physcomitrium pyriforme,38.87913,-77.09198883,2020,2,17
38762564,Physcomitrium pyriforme,32.86475833,-97.0703055,2020,2,17
38767864,Physcomitrium pyriforme,33.01916374,-96.86211209,2020,2,17
38771003,Physcomitrium pyriforme,31.59332106,-89.19977107,2020,2,17
38771038,Physcomitrium pyriforme,31.59338951,-89.19974518,2020,2,17
38771431,Physcomitrium pyriforme,31.5935309,-89.20018511,2020,2,17
38777647,Physcomitrium pyriforme,31.59335,-89.19977,2020,2,17
38777657,Physcomitrium pyriforme,31.59360333,-89.20015,2020,2,17
38778341,Physcomitrium pyriforme,38.91295032,-76.94392348,2020,2,16
38916904,Physcomitrium pyriforme,34.14230114,-77.86718032,2020,2,16
